"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"61","2019","01042","País Vasco","Araba / Álava",1.39470013947001,"Rural areas",3.68577687999409,44.41,15.4040404040404,3.95622895622896,27.7654867256637,13286,8.3
"63","2019","01043","País Vasco","Araba / Álava",4.3956043956044,"Rural areas",4.31678943847028,39.89,14.8552864737153,10.0118133490845,32.6388888888889,11668,14.9
"65","2019","01044","País Vasco","Araba / Álava",0,"Rural areas",1.43456102315472,23.59,19.5402298850575,2.68199233716475,28.3898305084746,17936,4.8
"67","2019","01046","País Vasco","Araba / Álava",5.63991323210412,"Rural areas",1.88001691714173,19.87,18.0891719745223,1.91082802547771,28.1198003327787,15483,5.2
"69","2019","01047","País Vasco","Araba / Álava",8.1203007518797,"Rural areas",3.97396354761933,22.46,13.1111111111111,5.92592592592593,30.4752066115702,14065,6.1
"71","2019","01049","País Vasco","Araba / Álava",2.02020202020202,"Rural areas",1.96230055185096,25.17,25.6410256410256,8.33333333333333,21.0144927536232,16127,5.1
"73","2019","01051","País Vasco","Araba / Álava",1.36420008267879,"Rural areas",4.89803266109664,24.72,15.0928486764125,10.1935993678388,37.3022481265612,13034,10.6
"75","2019","01052","País Vasco","Araba / Álava",0.537634408602151,"Rural areas",3.39138916494221,31.1,30.0632911392405,0.316455696202532,24.8979591836735,15962,2.7
"77","2019","01053","País Vasco","Araba / Álava",0.808625336927224,"Rural areas",2.12486836514401,27.59,22.2377622377622,0.979020979020979,44.8453608247423,15766,5.1
"79","2019","01054","País Vasco","Araba / Álava",1.79558011049724,"Rural areas",3.11490959660645,22.97,13.1291028446389,4.44930707512764,31.875,14357,6.2
"81","2019","01055","País Vasco","Araba / Álava",2.19594594594595,"Rural areas",1.43032947177045,36.03,27.1084337349398,2.71084337349398,35.799522673031,14948,8.4
"83","2019","01056","País Vasco","Araba / Álava",0,"Rural areas",1.73145822849701,31.95,39.3665158371041,0.904977375565611,37.8995433789954,14669,3.3
"85","2019","01057","País Vasco","Araba / Álava",4.02010050251256,"Rural areas",3.55273913292002,34.41,27.7027027027027,1.01351351351351,16.25,12393,4.4
"87","2019","01058","País Vasco","Araba / Álava",1.05596620908131,"Rural areas",3.71626391754248,15.08,16.3395225464191,7.10875331564987,40.5947955390335,15768,7.2
"89","2019","01059","País Vasco","Araba / Álava",3.38917053505986,"Cities and suburbs",6.81295978174168,0,19.6902777888106,7.99884022972984,32.1894531459385,15291,9.1
"91","2019","01060","País Vasco","Araba / Álava",4.24242424242424,"Rural areas",2.65697014407762,37.36,23.134328358209,5.59701492537313,18.7817258883249,13141,6.8
"93","2019","01061","País Vasco","Araba / Álava",1.5748031496063,"Rural areas",2.73474567296123,28.64,14.207650273224,0.546448087431694,17.5324675324675,17556,4.7
"95","2019","01062","País Vasco","Araba / Álava",6.6079295154185,"Rural areas",2.33967350754724,24.21,18.780487804878,5.36585365853658,32.5878594249201,13605,8.6
"97","2019","01063","País Vasco","Araba / Álava",3.26167531504818,"Rural areas",2.93353145390795,19.17,17.8105994787142,1.08601216333623,29.4215795328142,19914,3.7
"99","2019","01901","País Vasco","Araba / Álava",5.7478368355995,"Rural areas",4.15977999785421,11.08,10.7006742890648,5.18909410729991,32.3704333050128,14433,6.4
"101","2019","01902","País Vasco","Araba / Álava",3.33951762523191,"Rural areas",2.56224049456401,27.33,22.7428571428571,2.62857142857143,29.9727520435967,13411,5.8
"103","2019","02001","Castilla - La Mancha","Albacete",15.1079136690647,"Rural areas",3.24551929886587,41.89,27.9746835443038,0.632911392405063,19.6646341463415,11132,6.5
"105","2019","02002","Castilla - La Mancha","Albacete",14.5714285714286,"Rural areas",2.09531524396002,47.18,34.6820809248555,0.963391136801541,16.1702127659574,9596,16.3
"107","2019","02003","Castilla - La Mancha","Albacete",15.5735563104259,"Cities and suburbs",5.03564140553195,0,15.433655072146,3.55566581472229,27.5550451090324,12282,12
"109","2019","02004","Castilla - La Mancha","Albacete",12.753036437247,"Rural areas",3.12112699374183,53.33,31.2138728323699,2.3121387283237,21.7320261437908,8943,15
"111","2019","02005","Castilla - La Mancha","Albacete",19.4895591647332,"Rural areas",2.21182080275445,57.47,27.8115501519757,3.3434650455927,24.1502683363149,9591,18.5
"113","2019","02006","Castilla - La Mancha","Albacete",6.48535564853557,"Rural areas",1.88207537552807,35.6,31.4984709480122,1.07033639143731,19.8618307426598,9297,19
"115","2019","02007","Castilla - La Mancha","Albacete",6.69144981412639,"Rural areas",2.0755217072678,49.39,30.6837606837607,1.36752136752137,20,9712,13.8
"117","2019","02008","Castilla - La Mancha","Albacete",15.1260504201681,"Rural areas",1.29365976334647,66.08,22.9459659511473,1.55440414507772,28.1642917015926,9717,16.5
"119","2019","02009","Castilla - La Mancha","Albacete",8.97340962638842,"Cities and suburbs",3.82667659606266,70.66,17.6092387075638,3.22290020066342,27.4872838250254,10794,14.1
"121","2019","02010","Castilla - La Mancha","Albacete",12.0300751879699,"Rural areas",2.5408919624219,53.68,23.355408388521,3.17880794701987,19.6757965343767,8818,15.2
"123","2019","02011","Castilla - La Mancha","Albacete",12.691466083151,"Rural areas",1.43561004566549,47.19,43.8311688311688,0.487012987012987,17.7215189873418,11858,13.6
"125","2019","02012","Castilla - La Mancha","Albacete",12.1918720852765,"Rural areas",3.57861213892503,22.67,17.6520994001714,1.15681233933162,19.5640326975477,11271,10.5
"127","2019","02013","Castilla - La Mancha","Albacete",21.8181818181818,"Rural areas",0.727284737278943,68.03,44.9367088607595,5.69620253164557,22.6890756302521,12219,15.8
"129","2019","02014","Castilla - La Mancha","Albacete",7.52688172043011,"Rural areas",1.07162930158946,52.17,29.3827160493827,0.740740740740741,20.5056179775281,11256,8.4
"131","2019","02015","Castilla - La Mancha","Albacete",16.7357083678542,"Rural areas",2.26756256796791,28.46,17.7304964539007,2.2367703218767,22.8313671061763,9220,20.6
"133","2019","02016","Castilla - La Mancha","Albacete",16.3727959697733,"Rural areas",1.89395815787048,80.96,23.7147595356551,1.65837479270315,27.4165202108963,9533,21.9
"135","2019","02017","Castilla - La Mancha","Albacete",12.6712328767123,"Rural areas",1.62371332084697,49.32,44.5368171021378,1.54394299287411,29.1169451073986,9172,22.2
"137","2019","02018","Castilla - La Mancha","Albacete",15.3618906942393,"Rural areas",2.12685090500722,51.11,22.7836034318398,13.0600571973308,20.2653799758745,9849,11.5
"139","2019","02019","Castilla - La Mancha","Albacete",15.7868020304569,"Rural areas",1.70993513139625,60.02,23.281756027348,1.69125584742713,22.2037422037422,9709,14.2
"141","2019","02020","Castilla - La Mancha","Albacete",9.91501416430595,"Rural areas",1.89428129096087,54.84,39.5209580838323,1.59680638722555,15.5092592592593,9735,15.1
"143","2019","02021","Castilla - La Mancha","Albacete",18.1265206812652,"Rural areas",2.68703968254467,31.59,22.03519510329,10.0994644223412,22.9105211406096,9822,13.9
"145","2019","02022","Castilla - La Mancha","Albacete",15.9362549800797,"Rural areas",1.17308001058721,36.77,36.9146005509642,1.10192837465565,19.9430199430199,11548,13.5
"147","2019","02023","Castilla - La Mancha","Albacete",11.7511520737327,"Rural areas",1.52006166626538,60.58,34.4405594405594,1.3986013986014,14.4366197183099,10731,14.8
"149","2019","02024","Castilla - La Mancha","Albacete",13.5521235521236,"Rural areas",3.78339037826168,54.42,19.1494050242398,6.17011899515205,24.0539747726606,9843,12.2
"151","2019","02025","Castilla - La Mancha","Albacete",18.1529224792513,"Cities and suburbs",4.25360963578071,81.33,17.4244705410017,6.30332229248218,22.8119555019434,9553,15.1
"153","2019","02026","Castilla - La Mancha","Albacete",6.89655172413793,"Rural areas",2.92686996915524,42.93,20.9991532599492,3.47163420829805,17.4641148325359,8235,12.6
